Date;Code;Close;Open;Low;High;Bid;Ask;WeightedAverage;Amount;Volume;NumberOfTrades
04.08.2020;ОРЕОЛПроек;;;;;;;;0;0;0
04.08.2020;Якут-11 об;;;;;107,67;109,23;;0;0;0
04.08.2020;СПбТел 07;106,91;106,98;100,03;107,04;106,92;106,94;106,18;494;524509,2;138
04.08.2020;РВМСтНедв1;;;;;;;;0;0;0
04.08.2020;УпрОтходНН;;;;;97,37;;;0;0;0
04.08.2020;МосОблБанк;;;;;;;;0;0;0
04.08.2020;ЗПИФКрасн;;;;;;;;0;0;0
04.08.2020;РЖД-32 обл;99,65;99,76;99,4;99,76;99,57;99,65;99,46;486;483365,4;32
04.08.2020;ОФЗ 26209;105,961;105,902;105,902;106,128;105,961;106,009;105,998;53885;57108250,52;508
04.08.2020;ФСК ЕЭС-22;99,62;99,6;99,6;99,9;99,65;99,79;99,79;46;45903,2;11
04.08.2020;КузнецкийБ;0,01505;0,01502;0,01498;0,01512;0,015;0,01506;0,01504;17410000;261860,9;144
04.08.2020;МСП Банк 2;;;;;99,51;;;0;0;0
04.08.2020;ВыбСудЗ ао;4000;4000;3955;4000;4005;4030;3990;11;43905;8
04.08.2020;ВыбСудЗ ап;4080;4040;4040;4100;4080;4100;4080;9;36680;9
04.08.2020;КурганГКао;54;52,5;52,5;54;53,5;54;53;200;10615;12
04.08.2020;ФСК ЕЭС-25;;;;;99,85;102;;0;0;0
04.08.2020;КурганГКап;53,5;54;53,5;54;53;53,5;54;770;41450;9
04.08.2020;ПИФУрлНед1;;;;;;;;0;0;0
04.08.2020;ВолгСпорт2;;;;;100;;;0;0;0
04.08.2020;ФСК ЕЭС-21;;;;;90,05;;;0;0;0
04.08.2020;МегаФон ао;;;;;;;;0;0;0
04.08.2020;Роснефть04;105,9;105,85;105,82;105,9;105,88;105,9;105,89;150;158834,1;18
04.08.2020;Роснефть05;105,99;105,99;105,99;105,99;105,61;105,99;105,99;9;9539,1;2
04.08.2020;ГлДорога 7;96;87,87;87,87;96;94,02;99;92,96;3;2788,7;3
04.08.2020;АИЖ11А1/12;;;;;90,02;;;0;0;0
04.08.2020;АИЖ11А2/12;;;;;90,02;;;0;0;0
04.08.2020;ГлДорога 6;;;;;80,02;102;;0;0;0
04.08.2020;ОФЗ 26211;105,839;105,85;105,708;105,927;105,802;105,839;105,855;30554;32342055,53;282
04.08.2020;ОФЗ 26212;109,693;109,745;109,299;109,745;109,359;109,692;109,564;13283;14547547,1;164
04.08.2020;РосбанкБО5;;;;;99,02;102,95;;0;0;0
